257	39	17	28	23	19	176	130
411	66	52	68	52	22	57	129
100	41	17	28	23	19	156	102
97	12	12	68	23	12	33	40
415	70	73	75	64	67	406	369
251	39	16	28	23	19	240	287
102	53	19	37	20	56	61	282
481	40	14	15	10	6	241	289
244	29	17	28	22	16	240	287
255	36	16	28	23	18	200	193
383	53	62	48	32	48	55	350
516	76	33	51	33	67	331	361
433	53	28	33	10	22	228	205
370	70	62	53	53	52	158	186
53	26	9	15	10	6	30	148
279	41	17	28	23	19	140	88
372	56	53	40	39	60	268	128
10	12	17	11	9	5	76	161
29	74	10	34	29	21	341	375
249	6	17	28	23	19	326	441
192	5	17	21	23	19	241	289
379	50	17	25	24	19	157	288
187	27	16	28	23	19	65	287
186	41	20	28	23	19	138	271
323	64	44	78	52	67	407	436
510	84	57	69	61	83	454	392
105	35	17	14	20	6	56	177
198	28	17	21	30	22	253	351
381	68	54	42	59	58	360	420
263	41	17	28	23	19	240	289
330	17	17	43	1	52	168	62
548	83	57	79	59	83	310	360
286	26	17	25	18	19	332	293
245	41	17	28	23	17	228	289
475	44	30	34	52	21	19	305
464	48	51	42	63	78	306	74
419	53	37	51	3	32	232	283
260	20	16	28	23	21	151	171
486	55	37	16	39	19	221	255
304	44	13	15	15	6	86	17
181	35	17	28	23	19	234	210
151	51	26	33	8	36	231	159
237	35	6	25	23	19	142	165
116	41	17	28	23	19	241	282
256	26	37	15	23	12	286	359
104	5	17	28	23	16	238	181
145	32	16	8	22	11	217	113
13	14	13	28	33	12	38	37
199	8	2	22	16	21	192	271
266	41	16	25	23	17	241	289
373	44	62	15	3	6	251	336
540	81	65	69	67	75	375	394
399	66	54	45	52	67	32	333
193	21	36	28	23	19	7	23
180	41	17	28	23	18	215	204
135	12	17	11	23	19	221	286
136	40	17	25	18	19	160	189
12	6	2	37	30	66	315	422
322	15	4	26	10	19	241	252
374	77	37	72	3	22	11	9
195	53	13	20	23	19	226	289
176	21	6	20	23	12	38	25
385	2	45	46	36	16	241	207
253	36	16	28	23	16	128	175
544	69	72	80	68	76	241	238
477	12	18	29	40	7	239	334
93	28	1	13	37	12	90	136
21	47	16	55	23	42	2	183
524	53	2	61	49	63	368	292
