Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65631397163e4c5a24c992a0,655b71b984cee8a3fc6bf6bf,APPROVED,2023-11-26T09:45:01.400000Z,2023-11-26T09:54:02.801000Z,2023-11-26T09:54:03.523000Z,2023-11-26T09:54:03.453519Z,542.0,C871QPIG,6,"English, German",24,Female,White,Germany,Germany,Germany,German,Yes,Full-Time
6563139fba9e145a221eee73,65410b3f1de864e712bb267d,APPROVED,2023-11-26T09:45:16.009000Z,2023-11-26T09:57:13.710000Z,2023-11-26T09:57:14.215000Z,2023-11-26T09:57:14.154525Z,718.0,C871QPIG,34,"German, English",27,Male,White,Germany,Germany,Germany,German,Yes,Other
656313b9572a43531c59def4,653fc00ad90fb3551c4b594b,APPROVED,2023-11-26T09:46:51.515000Z,2023-11-26T09:54:46.925000Z,2023-11-26T09:54:47.445000Z,2023-11-26T09:54:47.385628Z,476.0,C871QPIG,38,"German, English",21,Male,White,Germany,Germany,Germany,German,Yes,Part-Time
656313d17389aac2354b82c9,64e220abe394efe48bfe28f8,APPROVED,2023-11-26T09:50:42.283000Z,2023-11-26T09:58:15.165000Z,2023-11-26T09:58:15.774000Z,2023-11-26T09:58:15.710568Z,453.0,C871QPIG,148,"English, German",24,Female,White,Germany,Germany,Germany,German,No,Part-Time
656313d404ff9019381eeba2,651c156832b59e401c711c6f,APPROVED,2023-11-26T09:46:00.517000Z,2023-11-26T09:53:07.958000Z,2023-11-26T09:53:13.491000Z,2023-11-26T09:53:08.417793Z,428.0,C871QPIG,59,"English, German",18,Male,White,Germany,Germany,Germany,German,Yes,Other
656313dc0a29143ccea93c82,6505b19314eb42b422d59509,APPROVED,2023-11-26T09:47:33.972000Z,2023-11-26T09:53:54.125000Z,2023-11-26T09:53:54.649000Z,2023-11-26T09:53:54.575679Z,381.0,C871QPIG,24,"English, German",27,Male,White,Germany,Germany,Germany,German,No,Full-Time
656313e2175724ea7f185988,5e5fbff6de7bcc2fc7f396db,APPROVED,2023-11-26T09:46:14.029000Z,2023-11-26T09:54:08.098000Z,2023-11-26T09:54:08.568000Z,2023-11-26T09:54:08.512449Z,475.0,C871QPIG,1815,"German, English, Greek",29,Female,White,Germany,Germany,Germany,German,No,Full-Time
656313f6ccad598917c993ce,63eb514012c203a7a2146262,APPROVED,2023-11-26T09:46:33.959000Z,2023-11-26T09:52:18.954000Z,2023-11-26T09:52:19.586000Z,2023-11-26T09:52:19.500710Z,345.0,C871QPIG,284,"English, German",27,Male,White,Germany,Germany,Germany,English,No,Part-Time
656314053bc246c47feeed66,6516ff4cda6f1e36fd05b1cc,APPROVED,2023-11-26T09:46:57.965000Z,2023-11-26T09:58:57.020000Z,2023-11-26T09:58:57.615000Z,2023-11-26T09:58:57.553414Z,720.0,C871QPIG,95,"Arabic, English, French, German",28,Female,Other,Tunisia,Germany,Tunisia,Arabic,No,Full-Time
656314294d363e786bc5dc85,60060089125e50636ad6719e,APPROVED,2023-11-26T09:47:26.162000Z,2023-11-26T09:54:21.377000Z,2023-11-26T09:54:21.919000Z,2023-11-26T09:54:21.856920Z,416.0,C871QPIG,1315,"English, German",26,Female,White,Germany,Germany,Germany,German,Yes,Part-Time
65631438e4f5a268a959e119,65170641ac562bb61fb8e647,APPROVED,2023-11-26T09:47:36.066000Z,2023-11-26T10:01:09.886000Z,2023-11-26T10:01:10.461000Z,2023-11-26T10:01:10.395477Z,814.0,C871QPIG,63,"English, German",29,Male,White,Germany,Germany,Germany,German,No,Full-Time
656314d781a59126918ac043,63eb38339e72d01818aeb71b,APPROVED,2023-11-26T09:50:15.617000Z,2023-11-26T09:55:18.483000Z,2023-11-26T09:55:19.026000Z,2023-11-26T09:55:18.968009Z,303.0,C871QPIG,521,"German, English",35,Male,White,Germany,Germany,Germany,German,No,Full-Time
656314dd7a99049d2262004b,627ebd9631484f9b3b6aa811,APPROVED,2023-11-26T09:50:26.687000Z,2023-11-26T09:54:35.093000Z,2023-11-26T09:54:35.678000Z,2023-11-26T09:54:35.620996Z,249.0,C871QPIG,343,"German, English",25,Male,White,Germany,Germany,Germany,German,Yes,Part-Time
656314e5c580f1305d0a47fb,6516d3d61888082c45b2e8b4,APPROVED,2023-11-26T09:50:36.010000Z,2023-11-26T09:55:04.924000Z,2023-11-26T09:55:05.511000Z,2023-11-26T09:55:05.450808Z,269.0,C871QPIG,75,"English, German",30,Male,White,Germany,Germany,Germany,German,No,Full-Time
656314f4102822f13aa7420c,6561ff666e87c03638f8fb11,APPROVED,2023-11-26T09:50:49.282000Z,2023-11-26T10:02:07.637000Z,2023-11-26T10:02:08.263000Z,2023-11-26T10:02:08.198335Z,679.0,C871QPIG,2,"English, German",31,Male,White,Germany,Germany,Germany,German,No,Part-Time
