Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,U.s. political affiliation,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65620da1113d8da9af2d75ab,651c11480c7ff90ab5e23a39,APPROVED,2023-11-25T15:07:18.352000Z,2023-11-25T15:17:18.048000Z,2023-11-25T15:17:18.573000Z,2023-11-25T15:17:18.508463Z,600.0,C871QPIG,255,Democrat,"English, Spanish",53,Female,Other,El Salvador,United States,United States,English,No,Full-Time
65620dabaa8d3b4998ad0b23,5c3b70640eaa0100018ea877,APPROVED,2023-11-25T15:07:27.542000Z,2023-11-25T15:13:24.508000Z,2023-11-25T15:13:25.161000Z,2023-11-25T15:13:25.103734Z,357.0,C871QPIG,5165,Democrat,English,59,Male,White,United States,United States,United States,English,No,Part-Time
65620db548308eebbb635870,63db74b49b4a80525a557a61,APPROVED,2023-11-25T15:07:42.427000Z,2023-11-25T15:24:42.481000Z,2023-11-25T15:24:42.981000Z,2023-11-25T15:24:42.924435Z,1021.0,C871QPIG,1600,Democrat,English,23,Male,Black,United States,United States,United States,English,No,Full-Time
65620db65cabaa7d1d1d22ed,6486aa634b94f1dd568fd487,APPROVED,2023-11-25T15:07:39.569000Z,2023-11-25T15:14:20.484000Z,2023-11-25T15:14:21.006000Z,2023-11-25T15:14:20.940452Z,401.0,C871QPIG,1518,Democrat,English,51,Female,White,United States,United States,United States,English,No,Full-Time
65620dc07e80b4b7fe95ab34,650a2466738bb786a6c7849b,APPROVED,2023-11-25T15:10:45.159000Z,2023-11-25T15:17:12.067000Z,2023-11-25T15:17:12.708000Z,2023-11-25T15:17:12.653141Z,387.0,C871QPIG,581,Democrat,English,34,Male,White,United States,United States,United States,English,No,Full-Time
65620dc72eb5826e9b43f937,5f2042752276432e3a7ef104,APPROVED,2023-11-25T15:07:57.644000Z,2023-11-25T15:17:34.205000Z,2023-11-25T15:17:34.732000Z,2023-11-25T15:17:34.671761Z,577.0,C871QPIG,4813,Democrat,English,42,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
65620dc7a2bb84402c3d776f,645d33a2abc8fe8abb1aa87a,APPROVED,2023-11-25T15:07:56.332000Z,2023-11-25T15:16:16.132000Z,2023-11-25T15:16:21.700000Z,2023-11-25T15:16:16.610987Z,500.0,C871QPIG,1533,Democrat,English,61,Female,Mixed,United States,United States,United States,English,Yes,Full-Time
65620dc8dadb056940129eb6,56db4c217dcddf000bd5853c,APPROVED,2023-11-25T15:07:58.191000Z,2023-11-25T15:14:21.420000Z,2023-11-25T15:14:21.904000Z,2023-11-25T15:14:21.847192Z,384.0,C871QPIG,5766,Democrat,English,65,Female,White,United States,United States,United States,English,No,Part-Time
65620dc9c2220f7716820ef9,646f8a859c69c3cb1d5f08c8,APPROVED,2023-11-25T15:07:57.406000Z,2023-11-25T15:11:01.952000Z,2023-11-25T15:11:02.516000Z,2023-11-25T15:11:02.464060Z,185.0,C871QPIG,1367,Democrat,English,59,Male,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
65620dceaa8d3b4998ad0b2a,55b688fafdf99b26e287abd3,APPROVED,2023-11-25T15:08:02.428000Z,2023-11-25T15:11:26.180000Z,2023-11-25T15:11:26.745000Z,2023-11-25T15:11:26.686203Z,204.0,C871QPIG,286,Democrat,English,52,Male,White,United States,United States,United States,English,No,Full-Time
65620dd7fd678e7ac588a22d,63fcde3494055a563c72cb12,APPROVED,2023-11-25T15:08:07.753000Z,2023-11-25T15:13:22.483000Z,2023-11-25T15:13:22.998000Z,2023-11-25T15:13:22.940912Z,315.0,C871QPIG,1456,Democrat,English,76,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65620dd8dcc762b27a3559ac,65316cc42df1082ea53d162b,APPROVED,2023-11-25T15:08:17.296000Z,2023-11-25T15:19:23.283000Z,2023-11-25T15:19:23.774000Z,2023-11-25T15:19:23.718970Z,666.0,C871QPIG,285,Democrat,English,62,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65620dd9c2220f7716820eff,638a3fd5992f01b81d0e1e93,APPROVED,2023-11-25T15:08:22.001000Z,2023-11-25T15:19:33.633000Z,2023-11-25T15:19:34.126000Z,2023-11-25T15:19:34.069012Z,672.0,C871QPIG,2678,Democrat,English,55,Male,White,United States,United States,United States,English,No,Full-Time
65620de4c542d6297d88a50a,655ba21fe4af4eb0b37b640b,APPROVED,2023-11-25T15:08:29.465000Z,2023-11-25T15:24:50.825000Z,2023-11-25T15:24:51.283000Z,2023-11-25T15:24:51.218596Z,982.0,C871QPIG,8,Democrat,English,26,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
65620df104855ec358f1576d,6365ab4612aba0a9bf749af1,APPROVED,2023-11-25T15:08:39.307000Z,2023-11-25T15:13:24.076000Z,2023-11-25T15:13:24.596000Z,2023-11-25T15:13:24.527186Z,285.0,C871QPIG,2619,Democrat,English,53,Male,White,United States,United States,United States,English,No,Full-Time
65620df72cd17e0e38dcd11a,5a8d8079190420000156435d,APPROVED,2023-11-25T15:08:39.166000Z,2023-11-25T15:15:18.764000Z,2023-11-25T15:15:19.338000Z,2023-11-25T15:15:19.279190Z,400.0,C871QPIG,5191,Democrat,"English, Spanish, Greek",39,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65620dff1be7d9d80995aa01,6134e3d48d0eaa5c8fe8c25e,APPROVED,2023-11-25T15:08:51.039000Z,2023-11-25T15:14:57.469000Z,2023-11-25T15:14:58.022000Z,2023-11-25T15:14:57.961835Z,367.0,C871QPIG,3553,Democrat,English,36,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
65620e02f272e6806f525927,60fd88c5b5da4621ddaed661,APPROVED,2023-11-25T15:13:16.537000Z,2023-11-25T15:21:18.629000Z,2023-11-25T15:21:19.230000Z,2023-11-25T15:21:19.166007Z,483.0,C871QPIG,1422,Democrat,English,27,Female,White,United States,United States,United States,English,No,Full-Time
65620e0d21fef6a134355d44,5b757a03976ecb0001b1168f,APPROVED,2023-11-25T15:09:01.007000Z,2023-11-25T15:15:13.907000Z,2023-11-25T15:15:14.404000Z,2023-11-25T15:15:14.338685Z,373.0,C871QPIG,3856,Democrat,English,71,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65620e17aef250c8318fc697,639dc966f953a42bc397c24b,AWAITING REVIEW,2023-11-25T15:09:25.454000Z,2023-11-25T15:54:13.340000Z,,2023-11-25T15:54:14.274229Z,2688.0,NOCODE,1192,Democrat,English,75,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
65620e2ce54c4dac75d7ac60,64358f9eb05899a85826382d,APPROVED,2023-11-25T15:09:37.092000Z,2023-11-25T15:20:53.369000Z,2023-11-25T15:20:53.936000Z,2023-11-25T15:20:53.876787Z,677.0,C871QPIG,643,Democrat,English,49,Male,White,United States,United States,United States,English,Yes,Full-Time
65620e3204855ec358f15776,655e0ca502b090d564843968,APPROVED,2023-11-25T15:09:49.966000Z,2023-11-25T15:21:57.919000Z,2023-11-25T15:21:58.562000Z,2023-11-25T15:21:58.501597Z,728.0,C871QPIG,16,Democrat,English,51,Female,Mixed,United States,United States,United States,English,Yes,Full-Time
65620e3ff8cdee3b9eb952c9,60367f78082e3dedb8238ea3,APPROVED,2023-11-25T15:09:57.771000Z,2023-11-25T15:17:01.660000Z,2023-11-25T15:17:02.240000Z,2023-11-25T15:17:02.171019Z,424.0,C871QPIG,5597,Democrat,English,77,Female,White,United States,United States,United States,English,No,Full-Time
65620e458ba47d32520bc2df,59cadb5f59b379000115128d,APPROVED,2023-11-25T15:10:14.944000Z,2023-11-25T15:20:06.255000Z,2023-11-25T15:20:06.795000Z,2023-11-25T15:20:06.740342Z,592.0,C871QPIG,2709,Democrat,English,51,Female,Black,United States,United States,United States,English,No,Full-Time
65620e4ad91255502d8fc6d4,63f0fb9941434d10e8e4909b,APPROVED,2023-11-25T15:10:02.412000Z,2023-11-25T15:23:02.710000Z,2023-11-25T15:23:03.259000Z,2023-11-25T15:23:03.195523Z,781.0,C871QPIG,2025,Democrat,English,45,Male,Mixed,United States,United States,United States,English,No,Full-Time
65620e4a6e3331528cf8fccd,6440392496617f737f0e264f,APPROVED,2023-11-25T15:10:05.752000Z,2023-11-25T15:15:21.633000Z,2023-11-25T15:15:22.386000Z,2023-11-25T15:15:22.324216Z,316.0,C871QPIG,447,Democrat,"Spanish, English",36,Male,Other,Mexico,United States,United States,English,No,Unemployed (and job seeking)
65620e4b723ed05c242d78dc,579181fa913c71000197531b,APPROVED,2023-11-25T15:10:11.579000Z,2023-11-25T15:19:13.501000Z,2023-11-25T15:19:14.039000Z,2023-11-25T15:19:13.974727Z,542.0,C871QPIG,2790,Democrat,English,DATA_EXPIRED,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
65620e5624fadf875158b0d0,646ce077bee5dbbd60d98c23,APPROVED,2023-11-25T15:10:14.889000Z,2023-11-25T15:12:33.184000Z,2023-11-25T15:12:33.737000Z,2023-11-25T15:12:33.672645Z,139.0,C871QPIG,1743,Democrat,English,49,Male,White,United States,United States,United States,English,No,Full-Time
65620e59005d2fc669019376,614dd304ed948bbfe8c22215,APPROVED,2023-11-25T15:10:23.346000Z,2023-11-25T15:16:15.171000Z,2023-11-25T15:16:20.788000Z,2023-11-25T15:16:15.713879Z,352.0,C871QPIG,4810,Democrat,English,34,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65620e5b7e80b4b7fe95ab57,653159b776e14d9172042058,APPROVED,2023-11-25T15:10:25.290000Z,2023-11-25T15:22:41.801000Z,2023-11-25T15:22:42.413000Z,2023-11-25T15:22:42.349997Z,737.0,C871QPIG,265,Democrat,English,53,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
65620e5ef21bf5ac6d7468dc,62d43bf9cb693bf6980c5ea9,APPROVED,2023-11-25T15:10:28.109000Z,2023-11-25T15:21:38.899000Z,2023-11-25T15:21:39.434000Z,2023-11-25T15:21:39.366838Z,671.0,C871QPIG,3178,Democrat,English,60,Female,White,United States,United States,United States,English,No,Part-Time
