Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,U.s. political affiliation,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65623196ec32618db6ea0983,612962f44f151ddfd0298c52,APPROVED,2023-11-25T17:40:42.520000Z,2023-11-25T17:47:26.876000Z,2023-11-25T17:47:27.446000Z,2023-11-25T17:47:27.383414Z,405.0,C871QPIG,4230,Republican,English,63,Male,White,United States,United States,United States,English,No,Full-Time
65623197ebde63a4d1e3ffec,644f255ec4f58fe559261911,APPROVED,2023-11-25T17:40:46.202000Z,2023-11-25T17:49:33.045000Z,2023-11-25T17:49:34.298000Z,2023-11-25T17:49:34.235088Z,527.0,C871QPIG,1621,Republican,English,65,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65623199ebde63a4d1e3ffed,5bdfb648484288000130dad0,APPROVED,2023-11-25T17:40:41.041000Z,2023-11-25T17:46:33.504000Z,2023-11-25T17:46:34.070000Z,2023-11-25T17:46:34.010422Z,353.0,C871QPIG,4782,Republican,English,31,Male,White,United States,United States,United States,English,No,Full-Time
6562319981a59126918aa90e,63d698af12a4d488c5fdf05a,APPROVED,2023-11-25T17:40:50.132000Z,2023-11-25T17:51:19.591000Z,2023-11-25T17:51:20.268000Z,2023-11-25T17:51:20.206417Z,630.0,C871QPIG,2160,Republican,English,36,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6562319bb1357ca5cb26eb4a,5f6e2f793c9b1032dbe72def,APPROVED,2023-11-25T17:40:56.016000Z,2023-11-25T17:48:47.398000Z,2023-11-25T17:48:47.932000Z,2023-11-25T17:48:47.879359Z,472.0,C871QPIG,4980,Republican,English,43,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
656231a0b61c0afeebad3f8c,654330ed45a4782f4794ff49,APPROVED,2023-11-25T17:43:28.896000Z,2023-11-25T18:10:52.303000Z,2023-11-25T18:10:52.896000Z,2023-11-25T18:10:52.833541Z,1644.0,C871QPIG,97,Republican,English,36,Male,Black,Nigeria,United States,United States,English,Yes,DATA_EXPIRED
656231a95fde826cb82b4add,60bd28cc95ab27d4f4f6ada3,APPROVED,2023-11-25T17:41:02.947000Z,2023-11-25T17:45:51.222000Z,2023-11-25T17:45:56.926000Z,2023-11-25T17:45:51.848928Z,289.0,C871QPIG,5434,Republican,English,56,Male,White,United States,United States,United States,English,No,Full-Time
656231aa04ff9019381ed540,63dd3dd2593c92be97d8dbde,APPROVED,2023-11-25T17:41:50.211000Z,2023-11-25T17:46:52.088000Z,2023-11-25T17:46:52.689000Z,2023-11-25T17:46:52.629035Z,302.0,C871QPIG,1921,Republican,English,20,Male,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
656231ab76bea659f43be428,63d5a05179cf91a6e6a652cb,APPROVED,2023-11-25T17:46:27.695000Z,2023-11-25T18:29:59.061000Z,2023-11-25T18:29:59.614000Z,2023-11-25T18:29:59.550080Z,2612.0,C871QPIG,900,Republican,"Spanish, English",19,Male,Other,United States,United States,United States,English,Yes,DATA_EXPIRED
656231b53999ef1271a16413,5b0319e68d753d0001cc75c7,APPROVED,2023-11-25T17:41:12.297000Z,2023-11-25T17:46:46.189000Z,2023-11-25T17:46:46.758000Z,2023-11-25T17:46:46.693646Z,334.0,C871QPIG,2552,Republican,"Dutch, English",50,Female,White,United States,United States,United States,English,No,Full-Time
